year,rank,song,artist,votes
2019,100,Daytime TV,Dear Seattle,108
2019,99,mother tongue,Bring Me The Horizon,112
2019,98,Stupid,G Flip,112
2019,97,Seriously,Bugs,112
2019,96,Ready,Montaigne,112
2019,95,Hell N Back,Bakar,112
2019,94,Homecoming Queen,Thelma Plum,115
2019,93,Better Than Ever {Ft. Aloe Blacc},Flight Facilities,115
2019,92,Robbery,Juice WRLD,116
2019,91,Dominos,Northeast Party House,116
2019,90,Daisy,Pond,117
2019,89,Trouble,Ruby Fields,118
2019,88,Doin' Time,Lana Del Rey,118
2019,87,Typical Story,Hobo Johnson,119
2019,86,Nowhere To Go,Hayden James and NAATIONS,119
2019,85,I Am Not Afraid,G Flip,121
2019,84,11 Minutes {Ft. Travis Barker},YUNGBLUD & Halsey,125
2019,83,Tangled; Content,Luca Brasi,126
2019,82,Hate Me (Sometimes),Stand Atlantic,126
2019,81,medicine,Bring Me The Horizon,127
2019,80,Ur A Piece Of Shit,Ali Barter,127
2019,79,Something Tells Me,Meg Mac,128
2019,78,Swing,Sofi Tukker,129
2019,77,Patience,Tame Impala,129
2019,76,When I'm Around You,Running Touch,130
2019,75,You Little Beauty,FISHER,131
2019,74,Magnify,Northeast Party House,131
2019,73,Real Thing,Middle Kids,132
2019,72,Paradise,Golden Features x The Presets,136
2019,71,Money,Lime Cordiale,136
2019,70,Tricks,Stella Donnelly,137
2019,69,Party Pill,Cub Sport,137
2019,68,Not Angry Anymore,Thelma Plum,137
2019,67,Gone,Charli XCX & Christine And The Queens,137
2019,66,Nobody's Home,Mallrat x Basenji,140
2019,65,It Might Be Time,Tame Impala,140
2019,64,Meditjin {Ft. JessB},Baker Boy,141
2019,63,Face To Face,Ruel,141
2019,62,RICKY,Denzel Curry,142
2019,61,Circles,George Alice,142
2019,60,Lover,G Flip,146
2019,59,Ask For The Anthem,Ocean Grove,146
2019,58,Evil Spider,BENEE,148
2019,57,All My Friends Are Dead,The Amity Affliction,148
2019,56,Crazy,Dune Rats,152
2019,55,Then What,Illy,162
2019,54,Friends {Ft. Reo Cragun},Flume,162
2019,53,The Real Thing,Client Liaison,163
2019,52,Harmony Hall,Vampire Weekend,169
2019,51,Masochist,Polaris,171
2019,50,Infinity,Ocean Alley,171
2019,49,Painkiller,Ruel,173
2019,48,Red Light Green Light {Ft. Shaun Ross},Duke Dumont,174
2019,47,FU,WAAX,175
2019,46,San Frandisco,Dom Dolla,180
2019,45,Nightmare,Halsey,182
2019,44,Graveyard,Halsey,186
2019,43,Longshot,Catfish And The Bottlemen,187
2019,42,Don't Be So Hard On Yourself,Alex Lahey,187
2019,41,Welcome To The Black Parade {triple j Like A Version 2019},Alex Lahey,190
2019,40,Cool As Hell,Baker Boy,190
2019,39,Talk Deep,E^ST,193
2019,38,Save It For The Weekend,Skegss,193
2019,37,Ludens,Bring Me The Horizon,193
2019,36,Johnny Run Away,Tones And I,194
2019,35,everything i wanted,Billie Eilish,195
2019,34,Pasta,Angie McMahon,195
2019,33,Glitter,BENEE,195
2019,32,Maybe You Know,Holy Holy,198
2019,31,Never Seen The Rain,Tones And I,201
2019,30,EARFQUAKE,"Tyler, The Creator",205
2019,29,Inappropriate Behaviour,Lime Cordiale,206
2019,28,Borderline,Tame Impala,213
2019,27,Vacation Forever,Violent Soho,215
2019,26,Vossi Bop,Stormzy,216
2019,25,Final Form,Sampa The Great,216
2019,24,Unsainted,Slipknot,218
2019,23,bury a friend,Billie Eilish,224
2019,22,Teach Me About Dying,Holy Holy,227
2019,21,Piece Of Your Heart {Ft. Goodboys},MEDUZA,243
2019,20,Silver,DMA'S,244
2019,19,Find An Island,BENEE,246
2019,18,Circles,Post Malone,252
2019,17,Tokyo Drifting {Ft. Denzel Curry},Glass Animals,261
2019,16,Solid Gold {Ft. Kira Divine/Marques Toliver},PNAU,279
2019,15,Juice,Lizzo,287
2019,14,Jellyfish,Slowly Slowly,303
2019,13,Robbery,Lime Cordiale,311
2019,12,Exit Sign {Ft. Illy/Ecca Vandal},Hilltop Hoods,322
2019,11,Pub Feed,The Chats,337
2019,10,Purple Hat,Sofi Tukker,346
2019,9,Heavy Hearted,The Jungle Giants,401
2019,8,Rushing Back {Ft. Vera Blue},Flume,465
2019,7,Dance Monkey,Tones And I,466
2019,6,By Myself,FIDLAR,504
2019,5,Better In Blak,Thelma Plum,553
2019,4,Drink Too Much,G Flip,595
2019,3,Charlie,Mallrat,606
2019,2,bad guy,Billie Eilish,671
2019,1,Bulls On Parade {triple j Like A Version 2019},Denzel Curry,756
2018,100,I Wanna Be Everybody,Hockey Dad,159
2018,99,Let It Slip,Luca Brasi,160
2018,98,Cheetah Tongue,"Wombats, The",161
2018,97,We're Going Home,Vance Joy,162
2018,96,Friday Forever,Trophy Eyes,162
2018,95,God's Plan,Drake,165
2018,94,Alchemy,Slowly Slowly,166
2018,93,Faces,Holy Holy,168
2018,92,Sweet Release,Hockey Dad,169
2018,91,Graffiti,CHVRCHES,169
2018,90,Bubblin',Anderson .Paak,171
2018,89,Viv In The Front Seat,Ceres,174
2018,88,Tints {Ft. Kendrick Lamar},Anderson .Paak,174
2018,87,Lavender Bones,Stand Atlantic,175
2018,86,Hunger,Florence And The Machine,176
2018,85,Everybody But You,Thundamentals,177
2018,84,UFO {Ft. Allday},Mallrat,181
2018,83,Four Out Of Five,Arctic Monkeys,183
2018,82,Take It To The Heart,Odette,186
2018,81,WOW,Kwame,189
2018,80,Sunflower,Post Malone & Swae Lee,193
2018,79,Pussy Is God,King Princess,193
2018,78,Get Out,CHVRCHES,196
2018,77,Ballroom,Jack River,198
2018,76,The End,DMA'S,201
2018,75,For Your Love,Montaigne,201
2018,74,Scream Whole,Methyl Ethel,207
2018,73,Ten Leaf Clover,Slowly Slowly,208
